id,category,domain,rationale,expected_P,expected_O,expected_Wind,expected_Wopt,expected_Wnar,expected_H,expected_status,missing_roles,design_intent
C01,clean_S_Wind,benefits/fraud,"The model generates a fraud-risk score for benefit applications. That score does not serve as the principal basis for approval or denial: eligibility determinations are independently verified against wage records in the Social Security Master Earnings File before any adverse action is taken, per 20 C.F.R. Section 404.902.",YES,YES,YES,NO,NO,NO,S,none,Baseline clean S with explicit independent-basis mechanism and citation; sanity check.
C02,clean_S_Wind,permitting,"The tool ranks incoming permit applications by estimated complexity to assist queue management. That ranking does not serve as the principal basis for any zoning determination: final compliance findings are independently re-derived by county planning staff directly from the municipal code text, without reference to the ranking output.",YES,YES,YES,NO,NO,NO,S,none,"Staff appear but perform independent re-derivation, not review of AI output -- must not be miscoded as H/D."
C03,clean_S_Wind,immigration,"The AI-generated document-completeness checklist does not serve as the principal basis for denying an application: adjudicators independently confirm each regulatory requirement against 8 C.F.R. Part 103 before any denial is issued, regardless of the checklist's contents.",YES,YES,YES,NO,NO,NO,S,none,'Regardless of the checklist's contents' is the explicit nondependence relation Wind requires.
C04,clean_S_Wind,tax,The anomaly-detection output does not serve as the principal basis for filing a tax lien: liens are issued only after an independent examiner reconstructs the liability directly from the taxpayer's Form 4340 account transcript.,YES,YES,YES,NO,NO,NO,S,none,"Fourth Wind variant, different domain, to check family generalizes across subject matter."
C05,clean_S_Wopt,grants,"Grant reviewers may consult the AI-generated summary of applicant financials, but a complete manual review path using the original submitted documents remains fully available and is used whenever a reviewer requests it; the summary does not serve as the principal basis for the eligibility recommendation because reviewers are never required to rely on it.",YES,YES,NO,YES,NO,NO,S,none,"Tests Wopt: real, non-dependent alternative path explicitly stated as available and used."
C06,clean_S_Wopt,scheduling,The AI-suggested appointment slot does not serve as the principal basis for scheduling decisions: staff retain a fully functioning manual scheduling system and are not required to use the AI suggestion for any applicant.,YES,YES,NO,YES,NO,NO,S,none,Second Wopt case; explicit 'not required' language avoids dependence.
C07,clean_S_Wopt,document_review,"The AI-drafted case summary does not serve as the principal basis for the determination: a complete manual document-review workflow, unchanged from prior practice, remains available and is used in every case where the summary is not adopted.",YES,YES,NO,YES,NO,NO,S,none,Third Wopt case; tests whether 'unchanged from prior practice' phrasing is still recognized as a real path.
C08,clean_S_Wnar,chatbot,The chatbot answers general FAQ questions about application status. It does not serve as the principal basis for any determination: it is technically restricted from accessing case-specific eligibility data and cannot read or write to any case file.,YES,YES,NO,NO,YES,NO,S,none,Wnar: explicit technical bound (no access to case-specific data) plus explicit blocking rationale.
C09,clean_S_Wnar,dashboard,"The AI-generated dashboard metric does not serve as the principal basis for any personnel action: the dashboard is read-only, has no write-back path to the personnel file, and no field in the case record is populated from its output.",YES,YES,NO,NO,YES,NO,S,none,Second Wnar case; tests recognition of architectural/read-only constraints as a qualifying mechanism.
C10,clean_S_Wnar,sandbox_model,The experimental scoring output does not serve as the principal basis for any consequential action: the model runs in an isolated evaluation sandbox with no output field mapped into any production decision record.,YES,YES,NO,NO,YES,NO,S,none,Third Wnar case; sandbox/dev-environment framing distinct from C09's production read-only framing.
D01,clean_D_H_only,generic,A human caseworker makes the final decision.,NO,NO,NO,NO,NO,YES,D,n/a (D),Verbatim-spirit regression test of the paper's own quoted misleading-standalone example.
D02,clean_D_H_only,generic,All AI-generated recommendations are subject to review and approval by a supervisory analyst before any action is taken.,NO,YES,NO,NO,NO,YES,D,n/a (D),H phrased as formal review-and-approval gate; O present but P and W absent.
D03,clean_D_H_only,generic,The system's output is one of several inputs a human decision-maker considers when reaching a determination.,NO,YES,NO,NO,NO,YES,D,n/a (D),Tests the paper's explicitly disallowed 'one of several inputs' phrase in a full-sentence context.
D04,clean_D_H_only,generic,"A trained human reviewer has full discretion to accept, modify, or reject the AI's suggested action prior to finalization.",NO,YES,NO,NO,NO,YES,D,n/a (D),Discretion-flavored H language; checks discretion alone doesn't get treated as Wopt.
D05,clean_D_H_only,generic,Final approval rests with agency leadership after considering the model's output alongside other information.,NO,YES,NO,NO,NO,YES,D,n/a (D),Leadership sign-off framing of H.
D06,clean_D_H_only,generic,Human oversight ensures the AI is not solely responsible for the outcome; a person always reviews the case file.,NO,NO,NO,NO,NO,YES,D,n/a (D),"O deliberately absent -- 'case file' is not the AI's named output, so this should not be upgraded by proximity to a document reference."
D07,clean_D_H_only,generic,The recommendation is validated by staff before being acted upon.,NO,YES,NO,NO,NO,YES,D,n/a (D),"Tests the disallowed 'validated' keyword functioning as H, not as a mechanism."
D08,clean_D_H_only,generic,An authorized official signs off on every determination informed by this tool.,NO,YES,NO,NO,NO,YES,D,n/a (D),Sign-off framing; O present loosely via 'determination informed by this tool'.
D09,clean_D_H_only,generic,The output is advisory; agency personnel retain final decision-making authority in all cases.,NO,YES,NO,NO,NO,YES,D,n/a (D),'Advisory' framing of O paired with generic authority-retention H language.
D10,clean_D_H_only,generic,"Program staff review each flagged case manually before any adverse action, exercising independent judgment.",NO,YES,NO,NO,NO,YES,D,n/a (D),"Keyword trap: 'independent judgment' is human judgment, not Wind's non-AI source/procedure -- must not be miscoded as S."
E01,U_missing_W,benefits,"This determination does not rely on AI output as the principal basis for the payment amount; however, the tool's calculated benefit estimate is entered directly into the case file as the recommended payment amount awaiting further agency processing.",YES,YES,NO,NO,NO,NO,U,W,P and O both explicit; no mechanism given at all and no H claimed -- majority U-repair pattern (missing only W).
E02,U_missing_W,healthcare,The determination does not treat the AI's prior-authorization recommendation as the principal basis for denying coverage; the recommendation is written into the authorization queue as the suggested disposition for the requested service.,YES,YES,NO,NO,NO,NO,U,W,"Second missing-only-W case, healthcare domain."
E03,U_missing_W,immigration,This use case does not rely on the AI's interview-scheduling priority score as the principal basis for any adjudication outcome; the score is attached to the applicant's file as the assigned queue position for interview scheduling.,YES,YES,NO,NO,NO,NO,U,W,"Third missing-only-W case, immigration domain."
E04,U_missing_W,tax,The determination does not use the AI's audit-selection score as the principal basis for opening an examination; the score is recorded in the case management system as the case's risk ranking for examiner assignment.,YES,YES,NO,NO,NO,NO,U,W,"Fourth missing-only-W case, tax domain."
E05,U_missing_W,disaster_relief,This determination does not treat the AI's damage-severity estimate as the principal basis for awarding assistance; the estimate is logged in the applicant's record as the initial severity rating used for assistance-tier assignment.,YES,YES,NO,NO,NO,NO,U,W,"Fifth missing-only-W case, disaster-relief domain."
F01,U_missing_O,generic,"This determination does not rely on AI output as the principal basis for any consequential action; every case is independently reverified against source documentation held in the system of record before an action is finalized, per agency directive 14-3.",YES,NO,YES,NO,NO,NO,U,O,"P and Wind both explicit, but no AI output or workflow role is ever named -- the rare 'missing only O' pattern (1 of 12 in the paper)."
G01,U_missing_P_W,fraud/compliance,The system generates a list of flagged transactions that a compliance analyst receives each morning.,NO,YES,NO,NO,NO,NO,U,"P, W",O present via named output and recipient; no denial framing and no mechanism; 'receives' deliberately not coded as H.
G02,U_missing_P_W,healthcare,The tool drafts a prior-authorization recommendation letter that is placed in the patient's file for the assigned clinician to consider.,NO,YES,NO,NO,NO,NO,U,"P, W",Second O-only case; 'for the clinician to consider' kept below the H threshold (no review/approve verb).
G03,U_missing_P_W,disaster_relief,The system produces a priority ranking of disaster-relief applications that FEMA regional staff use to sequence site visits.,NO,YES,NO,NO,NO,NO,U,"P, W","Third O-only case, different domain."
G04,U_missing_O_W,generic,The determination is not based on AI output as the principal basis for the action; other factors control the outcome.,YES,NO,NO,NO,NO,NO,U,"O, W",P-only case: denial framing present but no output named and 'other factors' is not a real named mechanism.
G05,U_missing_O_W,law_enforcement,This use case does not present a high-impact predicate because the underlying decision is not automated.,YES,NO,NO,NO,NO,NO,U,"O, W",Second P-only case; tests whether an automation/non-automation claim alone is wrongly treated as a mechanism.
G06,U_missing_O_W,immigration,This determination does not rely on AI output to establish the specific eligibility threshold denied under M-25-21 Section 2(c).,YES,NO,NO,NO,NO,NO,U,"O, W",Third P-only case; specific statutory citation present but still no output or mechanism named.
G07,U_missing_P_O,financial_aid,"Before disbursement, the award amount is always recalculated directly from the verified FAFSA record by finance staff, independent of any prior automated suggestion.",NO,NO,YES,NO,NO,NO,U,"P, O","Wind-only case: real independent recomputation stated, but no denial framing and no named AI output/workflow role -- checks that presence of W alone doesn't get rounded up to S."
G08,U_missing_P_O,licensing,Every license renewal is independently cross-checked against the state professional-licensing database before issuance.,NO,NO,YES,NO,NO,NO,U,"P, O","Second Wind-only case; rationale never references the AI system at all, which is itself diagnostic of missing O."
H01,U_missing_all,generic,Not high-impact.,NO,NO,NO,NO,NO,NO,U,"P, O, W","Bare conclusion, paper's own example of an insufficient standalone phrase."
H02,U_missing_all,generic,The AI system is assistive in nature and does not drive outcomes.,NO,NO,NO,NO,NO,NO,U,"P, O, W",Disallowed 'assistive' keyword with no connecting mechanism.
H03,U_missing_all,generic,The output is one of several inputs considered by the program.,NO,NO,NO,NO,NO,NO,U,"P, O, W","Disallowed 'one of several inputs' keyword in isolation, no H verb attached (contrast with D03 where an explicit decision-maker is named)."
I01,contested_zero_deficit,benefits,"The AI-generated risk score is reviewed by a case manager, who cross-references it against the applicant's self-reported income before making a determination; the score is not used when the case manager determines self-reported income is unverifiable through other means.",UNCLEAR,YES,UNCLEAR,NO,NO,YES,contested,adjudicate,"Genuinely double-readable: 'cross-references against self-reported income' could be Wind or could be H-flavored review language. Intended to land in the zero-deficit adjudication bucket, not be forced to a single answer."
I02,contested_zero_deficit,benefits,The tool's eligibility recommendation is capped so that it can never independently trigger a benefit denial; a case manager makes the denial decision after considering the recommendation and the applicant's full file.,UNCLEAR,YES,NO,NO,UNCLEAR,YES,contested,adjudicate,"'Capped so it can never independently trigger a denial' reads as a candidate Wnar, but the sentence immediately reframes the real limiting factor as case-manager judgment (H). Tests whether the pipeline can hold both readings open rather than collapsing to one."
I03,contested_zero_deficit,benefits,"An independently sourced verification step precedes the determination in most cases; in cases lacking source documentation, the case manager's assessment of the AI recommendation controls.",UNCLEAR,YES,UNCLEAR,NO,NO,YES,contested,adjudicate,"Conditional/branching mechanism -- Wind for one sub-population, H-only for another -- within a single rationale. Tests whether the coder recognizes a genuinely mixed record rather than picking one branch."
J01,adversarial_negation,benefits,Eligibility is not independently reverified after the AI recommendation is approved by the case manager.,NO,YES,NO,NO,NO,YES,D,n/a (D),Keyword trap: the word 'independently' appears but is explicitly negated (Wind=NO). Coder must not pattern-match on the surface token.
J02,adversarial_negation,credit,"The score does not solely determine the outcome; it is combined with an independently verified credit history pulled directly from the bureau's original file, which alone is sufficient to support the adjudication regardless of the score.",YES,YES,YES,NO,NO,NO,S,none,"Opens with the disallowed 'not solely determine' framing but is followed by a genuine, sufficient-alone Wind. Tests that generic-sounding openers don't cause an otherwise valid mechanism to be discounted."
J03,adversarial_disconnected_clause,governance,"The agency values transparency in its AI governance program. A caseworker reviews all applications, and the model was trained on a diverse dataset representative of the applicant population.",NO,NO,NO,NO,NO,YES,D,n/a (D),"Three disconnected clauses (values statement, H mention, training-data diversity claim). Tests that dataset-diversity language is not stitched in as a de facto Wnar."
J04,adversarial_disconnected_clause,privacy,"The tool summarizes application documents. Separately, the agency's privacy office reviews all data handling practices annually.",NO,YES,NO,NO,NO,NO,U,"P, W",Privacy-office review addresses a different predicate (data handling) than principal-basis influence. Tests that an unrelated review process is not credited as W.
J05,adversarial_keyword_verbatim,generic,The AI output is informational only.,NO,NO,NO,NO,NO,NO,U,"P, O, W",Verbatim use of the paper's own quoted disallowed phrase; fidelity check against H01-H03.
J06,adversarial_keyword_stacked,generic,The recommendation is reviewed and validated by staff prior to use.,NO,YES,NO,NO,NO,YES,D,n/a (D),"Two disallowed keywords ('reviewed', 'validated') stacked together. Tests that stacking generic terms doesn't upgrade status."
J07,adversarial_pilot_stage,generic,This capability is currently in a limited internal pilot and has not been deployed to production; no live case has been processed using this model.,NO,UNCLEAR,NO,NO,NO,NO,U,"P, O, W","No live workflow role exists to identify. Checks that pilot/pre-deployment status is not treated as a de facto S, consistent with the paper's own statement that development stage should not function as a permanent warrant."
J08,adversarial_H_plus_W,benefits,"A case manager reviews the AI-generated summary; regardless of the reviewer's action, the final benefit amount is always computed directly from the statutory formula in 7 C.F.R. Section 273.10 using verified income data, independent of anything the AI produces.",YES,YES,YES,NO,NO,YES,S,none,H and a genuine Wind co-occur. Formula requires this resolve S (H is irrelevant once S holds) -- tests that proximity to review language doesn't wrongly downgrade to D.
J09,adversarial_P_ambiguous,generic,This system does not meet the criteria for the presumption.,UNCLEAR,NO,NO,NO,NO,NO,U,"P, O, W","Denial claim present but which predicate/criteria is never named. Tests correct use of UNCLEAR (not NO) for P under the three-value coding scheme, distinct from a fully absent P."
J10,adversarial_O_incomplete,generic,The system produces a compliance likelihood score.,NO,UNCLEAR,NO,NO,NO,NO,U,"P, O, W","Names the output but never states its workflow use. Tests the compound O requirement (output AND workflow role, not output alone)."
