id,agency,template_id,reconciled_status,four_statuses,four_output_status_unanimity,four_output_vector_unanimity,initial_agreement_not_preserved,gpt54_repeat_disagreement,mini_repeat_disagreement,review_reason
46,EPA,T-e3b0c44298fc,U,U|U|U|U,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-101,DHS,T-c503d2fbb79b,U,U|U|U|U,1,1,0,0,0,Repeated status agreement; still requires semantic validation
DHS-123,DHS,T-cfd1afe05c68,D,D|D|D|D,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-125,DHS,T-c60868e1c03a,S,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-14,DHS,T-3e96a1b29c22,S,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-180,DHS,T-0104c3e1bf9d,S,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-183,DHS,T-8c856430c4bd,U,U|S|U|S,0,0,0,0,0,Computational disagreement; interpretation review
DHS-188,DHS,T-06fac8b35612,U,U|U|U|U,1,1,0,0,0,Repeated status agreement; still requires semantic validation
DHS-189,DHS,T-9224d600b843,S,S|U|S|U,0,0,0,0,0,Computational disagreement; interpretation review
DHS-194,DHS,T-4e2df62dcd71,U,S|U|S|S,0,0,0,0,1,Computational disagreement; interpretation review
DHS-204,DHS,T-02296c740e62,S,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-234,DHS,T-282ad145c93c,S,S|S|U|S,0,0,1,1,0,Computational disagreement; interpretation review
DHS-2363,DHS,T-d39c21ea4512,D,D|D|D|S,0,0,1,0,1,Computational disagreement; interpretation review
DHS-2365,DHS,T-d39c21ea4512,D,D|D|D|S,0,0,1,0,1,Computational disagreement; interpretation review
DHS-2383,DHS,T-d0d326f5382a,U,U|U|U|D,0,0,1,0,1,Computational disagreement; interpretation review
DHS-24,DHS,T-1d482d39ec2c,U,U|U|U|U,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-2417,DHS,T-6e05e26a6734,S,S|U|S|S,0,0,0,0,1,Computational disagreement; interpretation review
DHS-2427,DHS,T-c60868e1c03a,S,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-2434,DHS,T-b99b7f9db3af,S,S|S|S|S,1,1,0,0,0,Repeated status agreement; still requires semantic validation
DHS-2511,DHS,T-1a8b3a877c1f,S,S|S|S|S,1,1,0,0,0,Repeated status agreement; still requires semantic validation
DHS-2517,DHS,T-3e19adf323a0,S,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-2543,DHS,T-4f967bc47dbb,U,U|S|S|U,0,0,0,1,1,Computational disagreement; interpretation review
DHS-2547,DHS,T-41cbe51c871e,U,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-2552,DHS,T-8c725571ab27,U,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-2565,DHS,T-22212d16035b,U,U|U|U|D,0,0,1,0,1,Computational disagreement; interpretation review
DHS-2568,DHS,T-70e1806a4255,U,D|S|D|S,0,0,0,0,0,Computational disagreement; interpretation review
DHS-2572,DHS,T-46c1e0453ae6,S,D|S|D|S,0,0,0,0,0,Computational disagreement; interpretation review
DHS-2575,DHS,T-00202881d718,U,U|S|U|S,0,0,0,0,0,Computational disagreement; interpretation review
DHS-2578,DHS,T-7e7a9b400b1b,U,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-2595,DHS,T-9d5c322cd3a3,S,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-2627,DHS,T-4ae31d537142,S,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-2667,DHS,T-07c5553a903f,D,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-2729,DHS,T-e12f01074a7f,S,S|S|S|S,1,1,0,0,0,Repeated status agreement; still requires semantic validation
DHS-310,DHS,T-ec1eec917acc,U,U|U|U|U,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-317,DHS,T-f59a322b4b96,S,S|D|D|D,0,0,0,1,0,Computational disagreement; interpretation review
DHS-35,DHS,T-7c48cabab497,S,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-37,DHS,T-a3d7df36b0ea,U,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-372,DHS,T-4f967bc47dbb,U,U|S|S|U,0,0,0,1,1,Computational disagreement; interpretation review
DHS-38,DHS,T-35f898647486,U,D|D|D|D,1,0,0,0,0,Repeated status agreement; still requires semantic validation
DHS-401,DHS,T-7cb7bb801fa9,U,U|U|U|U,1,1,0,0,0,Repeated status agreement; still requires semantic validation
DHS-407,DHS,T-037d2edc22d0,S,S|S|S|S,1,0,0,0,0,Repeated status agreement; still requires semantic validation
