id,category,expected_status,lexical_P,lexical_O,lexical_Wind,lexical_Wopt,lexical_Wnar,lexical_H,lexical_status
C01,clean_S_Wind,S,YES,YES,YES,NO,NO,YES,S
C02,clean_S_Wind,S,YES,YES,YES,NO,NO,NO,S
C03,clean_S_Wind,S,YES,YES,YES,NO,NO,NO,S
C04,clean_S_Wind,S,YES,UNCLEAR,YES,NO,NO,NO,U
C05,clean_S_Wopt,S,YES,YES,NO,YES,NO,YES,S
C06,clean_S_Wopt,S,YES,YES,NO,YES,NO,NO,S
C07,clean_S_Wopt,S,YES,YES,NO,YES,NO,YES,S
C08,clean_S_Wnar,S,YES,YES,NO,NO,YES,NO,S
C09,clean_S_Wnar,S,YES,YES,NO,NO,YES,NO,S
C10,clean_S_Wnar,S,YES,YES,NO,NO,YES,NO,S
D01,clean_D_H_only,D,NO,NO,NO,NO,NO,YES,D
D02,clean_D_H_only,D,NO,YES,NO,NO,NO,YES,D
D03,clean_D_H_only,D,NO,UNCLEAR,NO,NO,NO,YES,D
D04,clean_D_H_only,D,NO,NO,NO,NO,NO,YES,D
D05,clean_D_H_only,D,NO,UNCLEAR,NO,NO,NO,YES,D
D06,clean_D_H_only,D,NO,NO,NO,NO,NO,YES,D
D07,clean_D_H_only,D,NO,UNCLEAR,NO,NO,NO,YES,D
D08,clean_D_H_only,D,NO,NO,NO,NO,NO,YES,D
D09,clean_D_H_only,D,NO,UNCLEAR,NO,NO,NO,YES,D
D10,clean_D_H_only,D,NO,YES,NO,NO,NO,YES,D
E01,U_missing_W,U,YES,YES,NO,NO,NO,NO,U
E02,U_missing_W,U,YES,YES,NO,NO,NO,NO,U
E03,U_missing_W,U,YES,YES,NO,NO,NO,NO,U
E04,U_missing_W,U,YES,YES,NO,NO,NO,NO,U
E05,U_missing_W,U,YES,YES,NO,NO,NO,NO,U
F01,U_missing_O,U,YES,YES,YES,NO,NO,NO,S
G01,U_missing_P_W,U,NO,YES,NO,NO,NO,NO,U
G02,U_missing_P_W,U,NO,YES,NO,NO,NO,NO,U
G03,U_missing_P_W,U,NO,YES,NO,NO,NO,NO,U
G04,U_missing_O_W,U,YES,UNCLEAR,NO,NO,NO,NO,U
G05,U_missing_O_W,U,YES,NO,NO,NO,NO,NO,U
G06,U_missing_O_W,U,YES,UNCLEAR,NO,NO,NO,NO,U
G07,U_missing_P_O,U,NO,UNCLEAR,YES,NO,NO,NO,U
G08,U_missing_P_O,U,NO,NO,YES,NO,NO,NO,U
H01,U_missing_all,U,NO,NO,NO,NO,NO,NO,U
H02,U_missing_all,U,NO,NO,NO,NO,NO,NO,U
H03,U_missing_all,U,NO,UNCLEAR,NO,NO,NO,NO,U
I01,contested_zero_deficit,contested,NO,YES,NO,NO,NO,YES,D
I02,contested_zero_deficit,contested,NO,UNCLEAR,NO,NO,YES,YES,U
I03,contested_zero_deficit,contested,NO,UNCLEAR,YES,NO,NO,YES,U
J01,adversarial_negation,D,NO,UNCLEAR,NO,NO,NO,YES,D
J02,adversarial_negation,S,YES,YES,YES,NO,NO,NO,S
J03,adversarial_disconnected_clause,D,NO,NO,NO,NO,NO,YES,D
J04,adversarial_disconnected_clause,U,NO,NO,NO,NO,NO,YES,D
J05,adversarial_keyword_verbatim,U,NO,UNCLEAR,NO,NO,NO,NO,U
J06,adversarial_keyword_stacked,D,NO,UNCLEAR,NO,NO,NO,YES,D
J07,adversarial_pilot_stage,U,NO,UNCLEAR,NO,NO,NO,NO,U
J08,adversarial_H_plus_W,S,NO,YES,YES,NO,NO,YES,U
J09,adversarial_P_ambiguous,U,UNCLEAR,NO,NO,NO,NO,NO,U
J10,adversarial_O_incomplete,U,NO,YES,NO,NO,NO,NO,U
