comparison,template_id,occurrences,first_status,second_status,status_agreement,vector_agreement,changed_fields,forward_minimal_sets,reverse_minimal_sets,narrow_role_alone_sufficient_either_direction
gpt-5.4-2026-03-05 exact repeat,T-00202881d718,1,U,U,1,0,W_nar,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-0104c3e1bf9d,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-02296c740e62,1,S,S,1,0,W_nar,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-037d2edc22d0,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-04dfa13cd155,32,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-06fac8b35612,1,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-07c5553a903f,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-12ed683e528f,1,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-1425969ae25c,1,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-1605b4c2cfa3,1,S,S,1,0,W_ind|W_nar,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-1a8b3a877c1f,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-1b5a55fb5f11,1,S,U,0,0,W_nar,"[[""W_nar""]]","[[""W_nar""]]",1
gpt-5.4-2026-03-05 exact repeat,T-1d482d39ec2c,1,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-22212d16035b,1,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-247d9ff961dd,1,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-282ad145c93c,1,S,U,0,0,W_ind|W_nar|H,"[[""W_nar""]]","[[""W_nar""]]",1
gpt-5.4-2026-03-05 exact repeat,T-2ca831780599,2,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-35f898647486,1,D,D,1,0,W_ind,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-3e0e2944b563,1,U,U,1,0,W_nar,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-3e19adf323a0,1,S,S,1,0,W_nar,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-3e441efceab0,1,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-3e96a1b29c22,1,S,S,1,0,W_ind,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-41cbe51c871e,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-46c1e0453ae6,1,D,D,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-4ae31d537142,1,S,S,1,0,W_ind,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-4b55610f4130,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-4c341bf155e4,1,D,D,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-4e2df62dcd71,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-4f967bc47dbb,2,U,S,0,0,W_nar,"[[""W_nar""]]","[[""W_nar""]]",1
gpt-5.4-2026-03-05 exact repeat,T-527ae4bd3d6a,1,U,S,0,0,W_nar,"[[""W_nar""]]","[[""W_nar""]]",1
gpt-5.4-2026-03-05 exact repeat,T-61f1972a9861,1,S,S,1,0,W_ind,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-61fb7c4ffc61,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-6e05e26a6734,1,S,S,1,0,W_opt,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-70e1806a4255,1,D,D,1,0,W_ind|W_nar,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-73364a2de99d,3,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-739581454da2,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-7530fa9894b4,1,U,S,0,0,W_nar,"[[""W_nar""]]","[[""W_nar""]]",1
gpt-5.4-2026-03-05 exact repeat,T-79b6c7760b49,1,U,U,1,0,W_nar,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-79fa6bfbdf44,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-7c48cabab497,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-7cb7bb801fa9,1,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-7e7a9b400b1b,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-82676cbec526,1,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-88c2703d4c0f,1,S,S,1,0,W_opt,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-8c725571ab27,1,S,S,1,0,W_ind,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-8c856430c4bd,1,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-8e7ddb102390,1,D,D,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-9224d600b843,1,S,S,1,0,W_ind|W_opt,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-93d9abe92b75,1,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-9d5c322cd3a3,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-a3d7df36b0ea,1,S,S,1,0,W_ind,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-b99b7f9db3af,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-ba14dc894672,1,D,S,0,0,W_nar,"[[""W_nar""]]","[[""W_nar""]]",1
gpt-5.4-2026-03-05 exact repeat,T-bf30867b6bf4,1,D,D,1,0,P,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-c503d2fbb79b,1,U,U,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-c60868e1c03a,3,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-c8716646c61f,1,S,D,0,0,W_nar,"[[""W_nar""]]","[[""W_nar""]]",1
gpt-5.4-2026-03-05 exact repeat,T-c961f5774051,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-cd6ef69cc9cc,2,D,D,1,0,P,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-cfd1afe05c68,2,D,D,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-d0d326f5382a,1,U,U,1,0,P,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-d39c21ea4512,2,D,D,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-e12f01074a7f,1,S,S,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-e2b1ee3e9028,1,D,D,1,0,W_ind|W_nar,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-e32d814335cd,1,D,D,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-e3b0c44298fc,1,U,U,1,0,P|O|W_ind|W_opt|W_nar|H,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-ec1eec917acc,1,U,U,1,0,W_nar,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-f49fc88319d0,1,D,D,1,1,,[],[],0
gpt-5.4-2026-03-05 exact repeat,T-f59a322b4b96,1,S,D,0,0,W_ind,"[[""W_ind""]]","[[""W_ind""]]",0
gpt-5.4-2026-03-05 exact repeat,T-f6d1903d8370,1,D,D,1,1,,[],[],0
