artifact_id,retrievable,same_system,temporally_applicable,same_predicate,qualifying_mechanism,passage_anchor,mechanism_type,exact_passage,reason,confidence,pass
a9ecddc1c2c9ec58,YES,NO,UNCLEAR,NO,NO,NO,none,"facial recognition technology, now known as the Traveler Verification Service","The excerpt identifies TVS for biometric entry and exit, not the open-source investigative-lead system or a mechanism addressing principal-basis use.",0.9,1
91ad6e3c6af1b9a6,YES,UNCLEAR,UNCLEAR,NO,NO,NO,none,"designated CBP personnel monitor publicly available, open source social media",The excerpt describes a social-media monitoring initiative but neither identifies Dataminr nor supplies a principal-basis mechanism.,0.87,1
96c45c0626f849b9,YES,NO,UNCLEAR,NO,NO,NO,none,The TECS Platform facilitates information sharing,The excerpt identifies TECS Platform rather than Airship Outpost and contains no passage-level mechanism concerning AI output as a principal basis.,0.93,1
f395ffb61ef7fa26,YES,UNCLEAR,UNCLEAR,YES,YES,YES,alternative,“A no match result does not mean a person is inadmissible... [the officer] will manually query the system... and make a final determination.”,The excerpt supplies a non-AI manual-query path using vehicle and biographic information before the officer makes the final admissibility determination.,0.79,1
84aadc49eff61ac7,YES,UNCLEAR,UNCLEAR,YES,YES,YES,alternative,"“If not, the TSO will follow manual resolution processes to verify the traveler’s identity.”",A failed facial match leads to a stated manual identity-verification process rather than a decision based on the match result.,0.84,1
fc8833b815241b82,YES,YES,UNCLEAR,YES,YES,YES,narrow,“CBP uses Artificial Intelligence technology... to provide an immediate alert to the exam proctor.”,"The AI is limited to generating alerts, while CBP invalidates a score only when it corroborates an integrity violation using captured audio and video.",0.93,1
ba375d4bcdcb79e8,NO,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,NO,none,,The supplied artifact contains no retrievable text or passage-level evidence.,0.99,1
61155d4b6d815731,YES,NO,UNCLEAR,NO,NO,NO,none,The Privacy Impact Assessment (PIA) is a decision tool to identify and mitigate privacy risks,The collection page does not identify SPVAA or provide a mechanism connecting a non-principal AI basis to the relevant policy burden.,0.99,1
310f4302df7f7786,YES,NO,NO,NO,NO,NO,none,Privacy Impact Assessment Update for the Automated Targeting System – TSA/CBP Common Operating Picture Phase II,"This September 16, 2014 document concerns ATS COP Phase II rather than the Passport Anomaly Model and does not provide a traceable qualifying mechanism for the 2025 determination.",1.0,1
4813afa59e0451ca,YES,NO,NO,NO,NO,NO,none,“CBP can then send the person who meets such criteria to secondary inspection.”,The 2014 ATS-COP document neither identifies the Trade Entity Risk Model nor supplies a mechanism showing its output is not a principal basis.,0.98,1
