model,template_id,original_vector,original_status,whitespace_vector,whitespace_status,human_review_vector,human_review_status,multiple_sources_vector,multiple_sources_status,independent_basis_vector,independent_basis_status
gpt-6-astra,T-00202881d718,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-0104c3e1bf9d,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/YES/YES/NO/YES,S
gpt-6-astra,T-02296c740e62,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-037d2edc22d0,YES/YES/YES/YES/NO/YES,S,YES/YES/YES/YES/NO/YES,S,YES/YES/YES/YES/NO/YES,S,YES/YES/YES/YES/NO/YES,S,YES/YES/YES/YES/NO/YES,S
gpt-6-astra,T-04dfa13cd155,YES/NO/NO/NO/NO/NO,U,YES/NO/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/YES/NO/NO/NO,U
gpt-6-astra,T-06fac8b35612,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-07c5553a903f,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-12ed683e528f,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/YES/NO/NO/NO,U
gpt-6-astra,T-1425969ae25c,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-1605b4c2cfa3,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/YES/YES/NO/YES,S
gpt-6-astra,T-1a8b3a877c1f,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/YES/NO/YES/YES,S
gpt-6-astra,T-1b5a55fb5f11,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/UNCLEAR/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-1d482d39ec2c,YES/NO/NO/NO/NO/NO,U,YES/NO/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/YES/NO/NO/NO,U
gpt-6-astra,T-22212d16035b,NO/UNCLEAR/NO/NO/NO/NO,U,NO/UNCLEAR/NO/NO/NO/NO,U,NO/UNCLEAR/NO/NO/NO/YES,D,NO/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/YES/NO/NO/NO,U
gpt-6-astra,T-247d9ff961dd,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-282ad145c93c,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-2ca831780599,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/YES/NO/NO/NO,U
gpt-6-astra,T-35f898647486,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-3e0e2944b563,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
