model,id,dataset,valid,status,comparator_status,agreement,ambiguity,P,O,W_ind,W_opt,W_nar,H
gpt-5.4-2026-03-05,T-e3b0c44298fc,inventory,True,U,U,1,"Rationale is empty, so no predicate, output/use, W mechanism, or human-review basis is publicly stated.",NO,NO,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-2ca831780599,inventory,True,U,U,1,"States the denied predicate, but only generically. It does not identify what the AI output is or a qualifying mechanism; 'does not actually serve as a principal basis' reads as a conclusory assertion rather than an explained W mechanism.",YES,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-bf30867b6bf4,inventory,True,D,D,1,"""not making any final decisions"" could be read as gesturing toward the denied threshold, but the rationale does not identify a specific consequential decision/effect or a qualifying W mechanism; it functions here as a human-review claim.",NO,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,T-4c341bf155e4,inventory,True,D,D,1,"No explicit policy-threshold denial or specific consequential decision is stated. The rationale supports output/use and human oversight, but not an independent, optional, or narrow-bounds mechanism.",NO,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,T-8e7ddb102390,inventory,True,D,D,1,"“recommendations only” could suggest a narrow-output claim, but the rationale does not explain a non-human limiting mechanism; the load-bearing reason is human review.",YES,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,T-41cbe51c871e,inventory,True,S,U,0,"W-ind rests on 'source validation through separate processes'; this names a non-AI procedure and limiting role, but remains somewhat generic.",YES,YES,YES,NO,NO,YES
gpt-5.4-2026-03-05,T-04dfa13cd155,inventory,True,U,U,1,"The rationale clearly denies the policy predicate, but it does not identify the output type or how it is used in a workflow. 'Produce an output' is too generic to satisfy O, and no qualifying W mechanism is stated.",YES,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-4e2df62dcd71,inventory,True,S,U,0,"W-ind depends on treating ""the image"" as an independent non-AI evidence source rather than mere human review of an AI-marked output; coded YES because the rationale pairs image review with an express statement that AI is not the principal basis.",YES,YES,YES,NO,NO,YES
gpt-5.4-2026-03-05,T-00202881d718,inventory,True,U,U,1,"The rationale names only generic “AI-generated outputs”/“inputs” without specifying the output type, so O is not fully recoverable. Its process language could also be read either as a qualifying independent/narrow mechanism or as mostly human/process review.",YES,UNCLEAR,YES,NO,YES,YES
gpt-5.4-2026-03-05,T-73364a2de99d,inventory,True,U,U,1,"Rationale gives only a temporal/development-stage statement ('In development stage') and says 'impact has not been determined'; under rule 4 this is not a qualifying W mechanism and does not identify the policy predicate, AI output/use, or human-review basis.",NO,NO,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-e2b1ee3e9028,inventory,True,D,D,1,"A reasonable reading treats ""offers recommendations but does not approve contracts"" as a bounded recommendation-only mechanism (supporting W_nar), but another reading treats it as only human final decision-making; ""multiple information sources"" is too generic to qualify as W_ind.",YES,YES,UNCLEAR,NO,UNCLEAR,YES
gpt-5.4-2026-03-05,T-f6d1903d8370,inventory,True,D,U,0,"Human involvement is the main stated reason. 'Informational purposes only' gestures toward a narrow-output claim, but it does not explain why the information could not serve as a principal basis.",NO,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,T-f49fc88319d0,inventory,True,D,D,1,"""recommendation system only"" could be read as a narrow-output claim, but the rationale does not state an independent limiting mechanism beyond human review/oversight.",YES,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,T-d39c21ea4512,inventory,True,D,D,1,"The rationale clearly gives a bounded output (anomaly detections shown as a polygon) and human officer discretion, but it is unclear whether that amounts to a qualifying narrow operational mechanism or only human-review oversight. It is also unclear whether officers rely on independent image assessment versus reviewing AI-marked detections.",YES,YES,UNCLEAR,NO,UNCLEAR,YES
gpt-5.4-2026-03-05,T-037d2edc22d0,inventory,True,S,S,1,"Manual photo review could be read primarily as human oversight, but the stated in-person check-in option provides a clear non-AI path.",YES,YES,YES,YES,NO,YES
gpt-5.4-2026-03-05,T-79b6c7760b49,inventory,True,U,U,1,"The first sentence may indicate a narrowly bounded Mars-rover operation, but it does not explicitly identify the AI output or explain how that bound prevents the output from serving as a principal basis for a consequential action; thus O and W_nar remain unresolved.",YES,UNCLEAR,NO,NO,UNCLEAR,NO
gpt-5.4-2026-03-05,T-88c2703d4c0f,inventory,True,S,S,1,Rationale mixes two theories: a narrow internal-routing function and separate downstream peer-review/funding processes. W-nar is clear; W-ind is also plausible but is tied more to later funding decisions than to the routing choice itself.,YES,YES,YES,NO,YES,YES
gpt-5.4-2026-03-05,T-282ad145c93c,inventory,True,S,S,1,"'for further user investigation' could be read as some human-review language, but the clearer load-bearing rationale is the bounded output/no-mitigation description rather than a standalone human-review warrant.",YES,YES,NO,NO,YES,NO
gpt-5.4-2026-03-05,T-06fac8b35612,inventory,True,U,U,1,"The rationale clearly describes a narrow function, but it does not connect that bound to the high-impact policy threshold or any consequential decision/action; O is recoverable from the same sentence, but W-nar is not explicit.",NO,YES,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-12ed683e528f,inventory,True,U,U,1,"""drafting procurement documents"" may imply AI-generated draft text, but the rationale does not clearly state the AI output or workflow. The ""Research effort"" / ""not an operational use case"" language is a temporal/research-stage defense, not a qualifying W mechanism.",YES,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-1d482d39ec2c,inventory,True,U,U,1,"The rationale clearly denies the policy predicate, but it does not identify what the AI outputs actually are. The statement about outputs not being a principal basis is conclusory and does not supply a qualifying W mechanism.",YES,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-c503d2fbb79b,inventory,True,U,U,1,"The rationale names only generic ""AI outputs"" and says they are not a principal basis, but it does not identify the output type, how it is used in workflow, or any specific limiting/non-AI mechanism.",YES,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-c961f5774051,inventory,True,S,S,1,"The named vetting sources support an independent-basis reading, but the rationale is somewhat terse about exactly how those checks constrain reliance on the AI output.",YES,YES,YES,NO,NO,YES
gpt-5.4-2026-03-05,T-4ae31d537142,inventory,True,S,S,1,"W-opt is read from the statement that adjudications are not dependent on the tool, with the nearby reference to manually harvesting aliases and DOBs implying a non-AI path. The rationale does not clearly state a separate independent evidence source, and the narrow-output rationale is only partial.",YES,YES,NO,YES,UNCLEAR,YES
gpt-5.4-2026-03-05,T-61fb7c4ffc61,inventory,True,S,U,0,"W-nar is somewhat borderline: the rationale gives a bounded role (inspection prioritization), but it does not explicitly elaborate why that step cannot itself be a principal basis for a consequential action.",YES,YES,NO,NO,YES,NO
gpt-5.4-2026-03-05,T-ba14dc894672,inventory,True,D,D,1,"“continue to investigate further as during normal threat hunt operations” hints at follow-on non-AI investigation, but it does not identify a specific independent evidence source or clearly state that any consequential action would not principally depend on the AI output.",YES,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,T-8c856430c4bd,inventory,True,U,U,1,"The phrase ""only provides the officer with complied public information"" could be read as a bounded informational output, but the rationale does not clearly explain why that bound prevents the output from being a principal basis for a consequential decision.",YES,YES,NO,NO,UNCLEAR,NO
