id,agency,use_case_name,development_stage,template_id,rationale,status,P,O,W_ind,W_opt,W_nar,H,archived_status,status_reconciled,component_conflict_fields
46,EPA,Briefcam,Pilot,T-e3b0c44298fc,,U,NO,NO,NO,NO,NO,NO,U,0,
DHS-101,DHS,The Advanced Trade Analytics Platform (ATAP),Deployed,T-c503d2fbb79b,"The AI outputs do not produce an action or serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being, climate or environment, critical infrastructure, or strategic assets or resources. Additionally, the AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services.",U,YES,NO,NO,NO,NO,NO,U,0,
DHS-123,DHS,Voice Analytics for Investigative Data,Retired,T-cfd1afe05c68,"The definition states that the ""output serves as a principal basis for a decision or action concerning a specific individual or entity..."" However, the output of the AI is never the only basis for a decision, and no rights impacting action is taken unless a human is in the loop making a further determatination",D,YES,UNCLEAR,NO,NO,NO,YES,D,0,O
DHS-125,DHS,Investigative Prioritization Aggregator,Deployed,T-c60868e1c03a,"This use case provides more efficient data processing for HSI personnel. The AI output may be used to produce investigative insights in the form of data, information leads or connections that HSI personnel can use to inform investigations, but the output itself is data preparation and organization so HSI personnel can produce those leads when combining the AI output with the personnel’s expertise and other relevant investigative data and information. Personnel may use these insights for law enforcement purposes in ongoing investigations with existing targets to assist in activities such as producing risk assessments about individuals or identifying criminal suspects; however, all insights are reviewed and validated by both personnel and supervisors before being included in any official case management system, and do not serve as a principal basis for law enforcement action or decision. Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence (including validating AI-translated material by a certified interpreter), presentation to a U.S. Attorney’s Office and potentially a District Court judge, decision to prosecute, judicial review, and trial and sentencing.",S,YES,YES,YES,NO,UNCLEAR,YES,S,0,W_nar
DHS-14,DHS,Biometrics Enrollment Tool (BET) Fingerprint Quality Check,Deployed,T-3e96a1b29c22,"The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. This tool simply identifies whether a fingerprint collected is of sufficient quality to pass the FBI fingerprint check process, ultimately maximizing the number of successful FBI submissions while minimizing the number of fingerprint recaptures necessary. This quality assurance step is one task in a series of adjudication activities but is not determinative of the overall adjudication decision. The tool saves personnel time and resources while enhancing customer experience by helping to ensure that only quality fingerprints are passed forward for matching against the FBI Identity History Summary Check. Results of FBI fingerprint checks are subsequently reviewed by a human as part of the immigration adjudicative process.",S,YES,YES,NO,NO,YES,YES,S,0,
DHS-180,DHS,Automated Name and Date of Birth (DOB) Harvesting Service,Deployed,T-0104c3e1bf9d,"The use case improves case processing efficiency by reducing the amount of time USCIS staff must spend to manually find aliases and dates of birth (DOBs) in existing records of an individual. The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The use case increases efficiency of tasks associated with accurate and timely identification, analysis, and review of biographical information needed for adjudication. The AI outputs are suggested aliases and DOBs related to the individual query, which USCIS staff must review to accept, reject, or ignore the suggested information. The AI outputs reduce the amount of adjudicative time spent manually harvesting aliases and DOBs. The use case increases efficiency of tasks associated with reviewing existing records for adjudicating requests for immigration benefits. Completing such adjudications are not dependent on the use case however lack of this tool would significantly increase human processing times and potentially reduce the accuracy of information consulted during the human review process.",S,YES,YES,NO,YES,YES,YES,S,0,
DHS-183,DHS,Public Information Compilation for Travel Threat Analysis (Dataminr),Deployed,T-8c856430c4bd,"The AI outputs do not produce an action or serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being, climate or environment, critical infrastructure, or strategic assets or resources. The AI output only provides the officer with complied public information. The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services.",U,YES,YES,NO,NO,NO,NO,U,0,
DHS-188,DHS,Airship Outpost for Conveyance Identification,Deployed,T-06fac8b35612,The AI is not being used for tracking or analysis. It is simply identifying the alpha-numeric values of the conveyances in front of it.,U,NO,UNCLEAR,NO,NO,NO,NO,U,0,
DHS-189,DHS,ELIS Card Photo Validation Service,Deployed,T-9224d600b843,"This use case supports beneficiaries submitting an e-filed I-765 via myUSCIS to apply for employment authorization. These applications include a digital ID photo of the applicant, which will be printed on their Employment Authorization Document (EAD) card if the application is accepted. The use case determines whether a user-uploaded ID photo is suitable for use on an EAD card, and notifies the submitter if it detects a potential quality issue with the photo. (SEE DHS CAIO SUPER MEMO FY24) --- The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The AI outputs are a real-time advisory message to the submitter of the photo that it is of insufficient quality for card production at which point the submitter may choose to resubmit or not. While adjudication of EADs is not dependent on this use case, this tool enhances efficiency and customer service by minimizing the number of cards failing in production and delays related to subsequent requests for information. (SEE USCIS REQUEST FOR DHS CAIO DETERMINATION FY24)",S,YES,YES,NO,YES,YES,NO,S,0,
DHS-194,DHS,AI Enabled Autonomous Underwater Vehicle,Pre-deployment,T-4e2df62dcd71,"Computer Vision application onboard the ROV detects items of interest (IoI). The ROV also uses AI for collision avoidance. Once an IOI is detected, a bounding box is placed around the suspected IoI in the image and the user is notified of an alert of a potential IOI. The user then reviews the image and decides if a dive team is required for further inspection. The AI output does not serve as a principal basis for any decisions or actions.",U,YES,YES,UNCLEAR,NO,NO,YES,U,0,
