id,inventory_id,agency,use_case_name,development_stage,topic_area,rationale,consensus_P,consensus_O,consensus_W_ind,consensus_W_opt,consensus_W_nar,consensus_H,consensus_status,status_votes,status_agreement_n,unanimous,mean_confidence,formula_corrections,representative_excerpts,argument_status,legacy_status,legacy_matches_consensus
DHS-101,DHS-101,DHS,The Advanced Trade Analytics Platform (ATAP),Deployed,International Affairs,"The AI outputs do not produce an action or serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being, climate or environment, critical infrastructure, or strategic assets or resources. Additionally, the AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services.",YES,NO,NO,NO,NO,NO,U,"{""U"": 5}",5,1,0.986,0,do not serve as a principal basis for a decision or action || do not produce an action or serve as a principal basis for a decision || do not produce an action or serve as a principal basis,U: publicly unresolved,U,True
DHS-123,DHS-123,DHS,Voice Analytics for Investigative Data,Retired,,"The definition states that the ""output serves as a principal basis for a decision or action concerning a specific individual or entity..."" However, the output of the AI is never the only basis for a decision, and no rights impacting action is taken unless a human is in the loop making a further determatination",YES,NO,NO,NO,NO,YES,D,"{""D"": 5}",5,1,0.976,0,output serves as a principal basis for a decision or action concerning a specific individual or entity || a human is in the loop making a further determatination || the output of the AI || no rights impacting action is taken unless a human is in the loop making a further determatination || output serves as a principal basis for a decision || output serves as a principal basis for a decision or action concerning a specific individual or entity... || output serves as a principal basis || never the only basis || a human is in the loop,U: publicly unresolved,U,False
DHS-125,DHS-125,DHS,Investigative Prioritization Aggregator,Deployed,Law Enforcement,"This use case provides more efficient data processing for HSI personnel. The AI output may be used to produce investigative insights in the form of data, information leads or connections that HSI personnel can use to inform investigations, but the output itself is data preparation and organization so HSI personnel can produce those leads when combining the AI output with the personnel’s expertise and other relevant investigative data and information. Personnel may use these insights for law enforcement purposes in ongoing investigations with existing targets to assist in activities such as producing risk assessments about individuals or identifying criminal suspects; however, all insights are reviewed and validated by both personnel and supervisors before being included in any official case management system, and do not serve as a principal basis for law enforcement action or decision. Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence (including validating AI-translated material by a certified interpreter), presentation to a U.S. Attorney’s Office and potentially a District Court judge, decision to prosecute, judicial review, and trial and sentencing.",YES,YES,YES,NO,YES,YES,S,"{""S"": 5}",5,1,0.976,0,"do not serve as a principal basis for law enforcement action or decision || investigative insights in the form of data, information leads or connections that HSI personnel can use to inform investigations || the output itself is data preparation and organization so HSI personnel can produce those leads when combining the AI output with the personnel’s expertise and other relevant investigative data and information || all insights are reviewed and validated by both personnel and supervisors || Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence || data, information leads or connections || full Federal Investigation Process involving verifying any insights as evidence || outcomes of the full Federal Investigation Process involving verifying any insights as evidence || reviewed and validated by both personnel and supervisors",S: minimally supported rebuttal,S,True
DHS-14,DHS-14,DHS,Biometrics Enrollment Tool (BET) Fingerprint Quality Check,Deployed,Law Enforcement,"The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. This tool simply identifies whether a fingerprint collected is of sufficient quality to pass the FBI fingerprint check process, ultimately maximizing the number of successful FBI submissions while minimizing the number of fingerprint recaptures necessary. This quality assurance step is one task in a series of adjudication activities but is not determinative of the overall adjudication decision. The tool saves personnel time and resources while enhancing customer experience by helping to ensure that only quality fingerprints are passed forward for matching against the FBI Identity History Summary Check. Results of FBI fingerprint checks are subsequently reviewed by a human as part of the immigration adjudicative process.",YES,YES,NO,NO,YES,YES,S,"{""S"": 5}",5,1,0.9639999999999999,0,do not serve as a principal basis for a decision or action || identifies whether a fingerprint collected is of sufficient quality to pass the FBI fingerprint check process || This quality assurance step is one task in a series of adjudication activities but is not determinative of the overall adjudication decision. || Results of FBI fingerprint checks are subsequently reviewed by a human || identifies whether a fingerprint collected is of sufficient quality || one task in a series of adjudication activities but is not determinative of the overall adjudication decision || not determinative of the overall adjudication decision || reviewed by a human,D: public defeater undefeated,D,False
DHS-180,DHS-180,DHS,Automated Name and Date of Birth (DOB) Harvesting Service,Deployed,Service Delivery,"The use case improves case processing efficiency by reducing the amount of time USCIS staff must spend to manually find aliases and dates of birth (DOBs) in existing records of an individual. The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The use case increases efficiency of tasks associated with accurate and timely identification, analysis, and review of biographical information needed for adjudication. The AI outputs are suggested aliases and DOBs related to the individual query, which USCIS staff must review to accept, reject, or ignore the suggested information. The AI outputs reduce the amount of adjudicative time spent manually harvesting aliases and DOBs. The use case increases efficiency of tasks associated with reviewing existing records for adjudicating requests for immigration benefits. Completing such adjudications are not dependent on the use case however lack of this tool would significantly increase human processing times and potentially reduce the accuracy of information consulted during the human review process.",YES,YES,NO,YES,YES,YES,S,"{""S"": 5}",5,1,0.95,0,"do not serve as a principal basis for a decision or action || suggested aliases and DOBs related to the individual query, which USCIS staff must review to accept, reject, or ignore || Completing such adjudications are not dependent on the use case however lack of this tool would significantly increase human processing times || USCIS staff must review to accept, reject, or ignore the suggested information || suggested aliases and DOBs || Completing such adjudications are not dependent on the use case || USCIS staff must review to accept, reject, or ignore || staff must review to accept, reject, or ignore",D: public defeater undefeated,D,False
DHS-183,DHS-183,DHS,Public Information Compilation for Travel Threat Analysis (Dataminr),Deployed,Admin Functions,"The AI outputs do not produce an action or serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being, climate or environment, critical infrastructure, or strategic assets or resources. The AI output only provides the officer with complied public information. The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services.",YES,YES,NO,NO,NO,NO,U,"{""U"": 5}",5,1,0.95,0,do not serve as a principal basis for a decision or action || only provides the officer with complied public information || do not produce an action or serve as a principal basis for a decision || do not produce an action or serve as a principal basis || compiled public information,U: publicly unresolved,U,True
DHS-188,DHS-188,DHS,Airship Outpost for Conveyance Identification,Deployed,Law Enforcement,The AI is not being used for tracking or analysis. It is simply identifying the alpha-numeric values of the conveyances in front of it.,NO,UNCLEAR,NO,NO,NO,NO,U,"{""U"": 5}",5,1,0.978,0,identifying the alpha-numeric values of the conveyances in front of it || identifying the alpha-numeric values of the conveyances || simply identifying,U: publicly unresolved,U,True
DHS-189,DHS-189,DHS,ELIS Card Photo Validation Service,Deployed,Service Delivery,"This use case supports beneficiaries submitting an e-filed I-765 via myUSCIS to apply for employment authorization. These applications include a digital ID photo of the applicant, which will be printed on their Employment Authorization Document (EAD) card if the application is accepted. The use case determines whether a user-uploaded ID photo is suitable for use on an EAD card, and notifies the submitter if it detects a potential quality issue with the photo. (SEE DHS CAIO SUPER MEMO FY24) --- The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The AI outputs are a real-time advisory message to the submitter of the photo that it is of insufficient quality for card production at which point the submitter may choose to resubmit or not. While adjudication of EADs is not dependent on this use case, this tool enhances efficiency and customer service by minimizing the number of cards failing in production and delays related to subsequent requests for information. (SEE USCIS REQUEST FOR DHS CAIO DETERMINATION FY24)",YES,YES,NO,YES,YES,NO,S,"{""S"": 5}",5,1,0.96,0,do not serve as a principal basis for a decision or action || a real-time advisory message to the submitter of the photo that it is of insufficient quality for card production || the submitter may choose to resubmit or not. While adjudication of EADs is not dependent on this use case || a real-time advisory message to the submitter || adjudication of EADs is not dependent on this use case,U: publicly unresolved,U,False
DHS-194,DHS-194,DHS,AI Enabled Autonomous Underwater Vehicle,Pre-deployment,Law Enforcement,"Computer Vision application onboard the ROV detects items of interest (IoI). The ROV also uses AI for collision avoidance. Once an IOI is detected, a bounding box is placed around the suspected IoI in the image and the user is notified of an alert of a potential IOI. The user then reviews the image and decides if a dive team is required for further inspection. The AI output does not serve as a principal basis for any decisions or actions.",YES,YES,UNCLEAR,NO,NO,YES,U,"{""D"": 3, ""S"": 2}",3,0,0.9219999999999999,0,does not serve as a principal basis for any decisions or actions || a bounding box is placed around the suspected IoI in the image and the user is notified of an alert || The user then reviews the image and decides if a dive team is required for further inspection. || The user then reviews the image and decides if a dive team is required || The user then reviews the image || the user is notified of an alert of a potential IOI || The user then reviews the image and decides || an alert of a potential IOI || user then reviews the image and decides,U: publicly unresolved,U,True
DHS-204,DHS-204,DHS,Semantic Search and Summarization for Investigative Data,Pre-deployment,Law Enforcement,"This use case provides a natural language contextual search and summarization capability against existing Reports of Investigation and other investigative data, producing more relevant search responses and investigative insights in the form of data, information leads or connections that HSI personnel can use to inform investigations. The AI output (search queries and responses) provide investigators with easy-to-read search responses that are accompanied by links to source material for further analysis. Any data used to produce these investigative insights are first obtained through legal means and processes for the purposes of law enforcement investigations and do not significantly impact the categories listed in the definitions of “high-impacting AI.” Personnel may use these insights for law enforcement purposes in ongoing investigations with existing targets to assist in activities such as producing risk assessments about individuals or identifying criminal suspects; however, all insights are reviewed and validated by both personnel and supervisors before being included in any official case management system, and do not serve as a principal basis for enforcement decisions. Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence.",YES,YES,YES,NO,NO,YES,S,"{""S"": 5}",5,1,0.9739999999999999,0,do not serve as a principal basis for enforcement decisions || search responses that are accompanied by links to source material for further analysis || Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence. || all insights are reviewed and validated by both personnel and supervisors || search responses that are accompanied by links to source material || full Federal Investigation Process involving verifying any insights as evidence || search queries and responses || reviewed and validated by both personnel and supervisors,S: minimally supported rebuttal,S,True
DHS-234,DHS-234,DHS,Relocatable Multi-Sensor System,Pre-deployment,Law Enforcement,"Sensors and CUAS capabilities to support significant events. The AI combines sensor data from RF detections / radar/ and infrared / electro optical cameras. It combines all feeds and provides detections on the user interface back to users. Fully standalone and airgapped system. Looking to identify non-RF drones. System does not have any mitigation capability, system cannot autonomously mitigate an aircraft, it only detects and provides a digital track on the GUI/map for further user investigation. This use of AI does not serve as a principal basis for decision or action.",YES,YES,NO,NO,YES,NO,S,"{""S"": 5}",5,1,0.9480000000000001,0,"does not serve as a principal basis for decision or action || provides detections on the user interface back to users || system cannot autonomously mitigate an aircraft, it only detects and provides a digital track on the GUI/map for further user investigation || provides detections on the user interface || system cannot autonomously mitigate an aircraft, it only detects and provides a digital track || cannot autonomously mitigate an aircraft, it only detects",U: publicly unresolved,U,False
DHS-2363,DHS-2363,DHS,Anomaly Detection COV Structure,Pre-deployment,Law Enforcement,"Computer Vision is intended to detect anomalies in non-intrusive inspection images. The images are then shared with officers who review the detections within the images (represented as a polygon). If the officer feels physical review is required, the vehicle is moved to secondary inspection for more thorough review by an officer. The output of the AI does not serve as a principal basis for a decision or action.",YES,YES,NO,NO,NO,YES,D,"{""D"": 5}",5,1,0.9600000000000002,0,"does not serve as a principal basis for a decision or action || detections within the images (represented as a polygon) || If the officer feels physical review is required, the vehicle is moved to secondary inspection || detect anomalies in non-intrusive inspection images || If the officer feels physical review is required || secondary inspection for more thorough review || officers who review the detections",U: publicly unresolved,U,False
DHS-2365,DHS-2365,DHS,Anomaly Detection POV Structure,Pre-deployment,Law Enforcement,"Computer Vision is intended to detect anomalies in non-intrusive inspection images. The images are then shared with officers who review the detections within the images (represented as a polygon). If the officer feels physical review is required, the vehicle is moved to secondary inspection for more thorough review by an officer. The output of the AI does not serve as a principal basis for a decision or action.",YES,YES,NO,NO,NO,YES,D,"{""D"": 5}",5,1,0.9600000000000002,0,"does not serve as a principal basis for a decision or action || detections within the images (represented as a polygon) || If the officer feels physical review is required, the vehicle is moved to secondary inspection || detect anomalies in non-intrusive inspection images || If the officer feels physical review is required || secondary inspection for more thorough review || officers who review the detections",U: publicly unresolved,U,False
