round,model,id,dataset,circuit_status,reported_status,ambiguity_note,interpretation
initial,gpt-5.4-2026-03-05,T-e2b1ee3e9028,inventory,D,U,"A reasonable reading treats ""offers recommendations but does not approve contracts"" as a bounded recommendation-only mechanism (supporting W_nar), but another reading treats it as only human final decision-making; ""multiple information sources"" is too generic to qualify as W_ind.",The codebook allows U when reasonable readings yield different statuses. This note and reported label are preserved; no expert adjudication is available.
initial,gpt-5.4-2026-03-05,T-d39c21ea4512,inventory,D,U,"The rationale clearly gives a bounded output (anomaly detections shown as a polygon) and human officer discretion, but it is unclear whether that amounts to a qualifying narrow operational mechanism or only human-review oversight. It is also unclear whether officers rely on independent image assessment versus reviewing AI-marked detections.",The codebook allows U when reasonable readings yield different statuses. This note and reported label are preserved; no expert adjudication is available.
initial,gpt-5.4-2026-03-05,T-70e1806a4255,inventory,D,U,"Reasonable split: AIS correlation and agent review of the underlying image may suggest an independent/non-principal triage role, but the rationale does not clearly state that a non-AI path or bounded mechanism prevents consequential action from depending on the AI output; this could read as either support or mere human-oversight defeater, so code U.",The codebook allows U when reasonable readings yield different statuses. This note and reported label are preserved; no expert adjudication is available.
initial,gpt-5.4-2026-03-05,T-46c1e0453ae6,inventory,D,U,"The rationale names a non-AI basis for ""further actions"" (what agents encounter on scene), which could support W-ind. But dispatch/notification still appears to follow the AI detection plus human review, so it is unclear whether the independent basis defeats reliance on the AI for the consequential actions at issue. Reasonable readings could yield S or D, so U.",The codebook allows U when reasonable readings yield different statuses. This note and reported label are preserved; no expert adjudication is available.
initial,gpt-5.4-2026-03-05,R-05,repeat,D,U,"Reasonable reading 1: the knowledge graph is a bounded investigative lead that must undergo separate source validation, which could support S. Reasonable reading 2: 'human-led investigation' and 'source validation through separate processes' are too generic to establish a qualifying W mechanism, leaving only human oversight and pointing to D. Because these readings yield different statuses, code U.",The codebook allows U when reasonable readings yield different statuses. This note and reported label are preserved; no expert adjudication is available.
initial,gpt-5.4-2026-03-05,R-07,repeat,D,U,"The rationale clearly gives human oversight as a reason, but 'filter relevant video' could also be read as a bounded output that, together with human verification, limits AI to a narrow operational role. Because that link to the denied high-impact threshold is not explicit, W_nar is UNCLEAR; this creates a plausible D vs U split, so code U.",The codebook allows U when reasonable readings yield different statuses. This note and reported label are preserved; no expert adjudication is available.
initial,gpt-5.4-2026-03-05,R-10,repeat,D,U,"CBP Super Query results and imagery cues may suggest an independent non-AI basis for field response, but the rationale does not clearly state that those sources, rather than the AI output, constrain the action; human review is also offered as a reason.",The codebook allows U when reasonable readings yield different statuses. This note and reported label are preserved; no expert adjudication is available.
exact_repeat,gpt-5.4-2026-03-05,T-35f898647486,inventory,D,U,"The rationale can be read two ways: the camera image may be an independent non-AI evidence source used to determine follow-up (supporting W_ind and S), or it may be only human review of the AI-detected event/image without a clearly independent basis (supporting only H and D).",The codebook allows U when reasonable readings yield different statuses. This note and reported label are preserved; no expert adjudication is available.
exact_repeat,gpt-5.4-2026-03-05,T-46c1e0453ae6,inventory,D,U,"The rationale clearly states output and human review, and it names on-scene observations as the basis for ""further actions."" But that independent basis may apply only after agents are sent; the initial notification/investigation step still appears to rely on AI detection plus human review. That supports different reasonable readings (S vs D), so code U.",The codebook allows U when reasonable readings yield different statuses. This note and reported label are preserved; no expert adjudication is available.
exact_repeat,gpt-5.4-2026-03-05,T-c8716646c61f,inventory,D,U,The routing/staff-assignment recommendation could reasonably be read either as a narrow bounded administrative output that cannot be a principal basis (W_nar) or merely as a setup for human discretion without an explicit limiting mechanism; those readings would yield different statuses.,The codebook allows U when reasonable readings yield different statuses. This note and reported label are preserved; no expert adjudication is available.
exact_repeat,gpt-5.4-2026-03-05,T-d39c21ea4512,inventory,D,U,"Officer review of the images could be read as an independent non-AI basis for secondary inspection, which might support S, but the text can also be read as only human review of AI-marked detections without a clearly stated independent basis or limiting mechanism, which would support D. Per the codebook, this status conflict is coded U.",The codebook allows U when reasonable readings yield different statuses. This note and reported label are preserved; no expert adjudication is available.
exact_repeat,gpt-5.4-2026-03-05,T-f59a322b4b96,inventory,D,U,"A reasonable reading treats CBP Super Query/imagery and later personal interaction as non-AI bases constraining action dependence on AI (which could support W_ind and S). Another reasonable reading is that the rationale mainly relies on human review/discretion, with no clearly stated independent-basis relation, which would yield D.",The codebook allows U when reasonable readings yield different statuses. This note and reported label are preserved; no expert adjudication is available.
