lens,lens_name,id,P,O,W_ind,W_opt,W_nar,H,status,excerpts,ambiguity,confidence,reported_status,formula_corrected
1,literal entailment,DHS-101,YES,NO,NO,NO,NO,NO,U,"{'P': 'do not serve as a principal basis for a decision or action', 'O': '', 'W': '', 'H': ''}",The rationale never identifies what the AI output is or how it enters a workflow.,0.99,U,0
1,literal entailment,DHS-123,YES,NO,NO,NO,NO,YES,D,"{'P': 'output serves as a principal basis for a decision or action concerning a specific individual or entity', 'O': '', 'W': '', 'H': 'a human is in the loop making a further determatination'}",The unnamed additional basis is not identifiable independent evidence; “never the only basis” does not itself establish a qualifying W mechanism.,0.97,D,0
1,literal entailment,DHS-125,YES,YES,YES,NO,YES,YES,S,"{'P': 'do not serve as a principal basis for law enforcement action or decision', 'O': 'investigative insights in the form of data, information leads or connections that HSI personnel can use to inform investigations', 'W': 'the output itself is data preparation and organization so HSI personnel can produce those leads when combining the AI output with the personnel’s expertise and other relevant investigative data and information', 'H': 'all insights are reviewed and validated by both personnel and supervisors'}",,0.97,S,0
1,literal entailment,DHS-14,YES,YES,YES,NO,YES,YES,S,"{'P': 'do not serve as a principal basis for a decision or action', 'O': 'identifies whether a fingerprint collected is of sufficient quality to pass the FBI fingerprint check process', 'W': 'This quality assurance step is one task in a series of adjudication activities but is not determinative of the overall adjudication decision.', 'H': 'Results of FBI fingerprint checks are subsequently reviewed by a human'}",,0.96,S,0
1,literal entailment,DHS-180,YES,YES,NO,YES,YES,YES,S,"{'P': 'do not serve as a principal basis for a decision or action', 'O': 'suggested aliases and DOBs related to the individual query, which USCIS staff must review to accept, reject, or ignore', 'W': 'Completing such adjudications are not dependent on the use case however lack of this tool would significantly increase human processing times', 'H': 'USCIS staff must review to accept, reject, or ignore the suggested information'}",,0.97,S,0
1,literal entailment,DHS-183,YES,YES,NO,NO,NO,NO,U,"{'P': 'do not serve as a principal basis for a decision or action', 'O': 'only provides the officer with complied public information', 'W': '', 'H': ''}","The output is described as compiled public information, but the rationale does not explain how that bound prevents consequential reliance.",0.94,U,0
1,literal entailment,DHS-188,NO,UNCLEAR,NO,NO,NO,NO,U,"{'P': '', 'O': 'identifying the alpha-numeric values of the conveyances in front of it', 'W': '', 'H': ''}","The output is identified, but its role in a consequential workflow and the relevant high-impact predicate are absent.",0.98,U,0
1,literal entailment,DHS-189,YES,YES,NO,YES,YES,NO,S,"{'P': 'do not serve as a principal basis for a decision or action', 'O': 'a real-time advisory message to the submitter of the photo that it is of insufficient quality for card production', 'W': 'the submitter may choose to resubmit or not. While adjudication of EADs is not dependent on this use case', 'H': ''}",,0.99,S,0
1,literal entailment,DHS-194,YES,YES,YES,NO,NO,YES,S,"{'P': 'does not serve as a principal basis for any decisions or actions', 'O': 'a bounding box is placed around the suspected IoI in the image and the user is notified of an alert', 'W': 'The user then reviews the image and decides if a dive team is required for further inspection.', 'H': 'The user then reviews the image and decides if a dive team is required'}","The underlying image is expressly reviewed before the dive-team decision, providing an identifiable basis beyond the alert.",0.94,S,0
1,literal entailment,DHS-204,YES,YES,YES,NO,NO,YES,S,"{'P': 'do not serve as a principal basis for enforcement decisions', 'O': 'search responses that are accompanied by links to source material for further analysis', 'W': 'Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence.', 'H': 'all insights are reviewed and validated by both personnel and supervisors'}",,0.97,S,0
